Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1961-0010-USA,1961,10,Natural,Meteorological,Storm,Tropical cyclone,,Carla,Kill,United States of America (the),USA,Northern America,Americas,Texas,,,,,,,,249,Kph,,,,,1961,9,11,1961,9,11,46,,,,,,,408000,11.69207506
1963-0082-USA,1963,82,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,Gainesville (Georgie),,,,,,,,,Kph,,,,,1963,,,1963,,,203,,,,,,,,11.97891616
1963-0061-USA,1963,61,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,°C,,,,,1963,1,,1963,1,,150,,,,,,,,11.97891616
1964-0021-USA,1964,21,Natural,Geophysical,Earthquake,Tsunami,,,Kill,United States of America (the),USA,Northern America,Americas,"Anchorage, Chitina, Glennallen, Homer, Hope, Kasilof, Kenai, Kodiak, Moose Pass, Portage, Seldovia, Seward, Sterling, Valdez, Wasilla, Whittier (Alaska)",,Tsunami/Tidal wave,,,,,,9,Richter,60.908,-147.339,18:36,,1964,3,27,1964,3,27,131,,,,,,,311000,12.13211749
1964-0012-USA,1964,12,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,Louisiana,,,,,,,,209,Kph,,,,,1964,10,,1964,10,,38,,,,,,,,12.13211749
1964-0050-USA,1964,50,Natural,Meteorological,Storm,Tropical cyclone,,Dora,SigDam,United States of America (the),USA,Northern America,Americas,Florida,,,,,,,,,Kph,,,,,1964,9,9,1964,9,9,5,,,,,,,250000,12.13211749
1965-0020-USA,1965,20,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Michigan",,,,,No,No,,,Kph,,,,,1965,4,11,1965,4,11,271,1000,,,1000,,,190000,12.32443267
1965-0024-USA,1965,24,Natural,Geophysical,Earthquake,Ground movement,,,SigDam,United States of America (the),USA,Northern America,Americas,Seattle (Washington),,,,,,,,7,Richter,47.4,-122.3,7:28,,1965,4,29,1965,4,29,7,,,,,,,28000,12.32443267
1965-0053-USA,1965,53,Natural,Meteorological,Storm,Tropical cyclone,,Betsy,Kill,United States of America (the),USA,Northern America,Americas,"Florida, Louisiana, Alabama, Mississippi",,,,,,,,,Kph,,,,,1965,9,7,1965,9,7,299,,,,,,,1420000,12.32443267
1966-0049-USA,1966,49,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,Kansas,,,,,,,,,Kph,,,,,1966,6,8,1966,6,8,26,,,,,,,100000,12.69602817
1966-0055-USA,1966,55,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,United States of America (the),USA,Northern America,Americas,Illinois state,,,,,,,,,°C,,,,,1966,7,,1966,7,,80,,,,,,,,12.69602817
1966-0056-USA,1966,56,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,United States of America (the),USA,Northern America,Americas,"St Louis, Missouri",,,,,,,,,°C,,,,,1966,7,9,1966,7,9,182,,,,,,,,12.69602817
1967-0059-USA,1967,59,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Beulah,Kill,United States of America (the),USA,Northern America,Americas,Texas,,,,,No,No,,,Kph,,,,,1967,9,19,1967,9,19,15,,,,,,,200000,13.04806211
1969-0087-USA,1969,87,Natural,Meteorological,Storm,Tropical cyclone,,Camille,Kill,United States of America (the),USA,Northern America,Americas,"Mississippi, Louisiana, Virginia",,,,,No,No,,249,Kph,,,,,1969,8,17,1969,8,17,323,,,,,,,1420000,14.34862782
1970-0030-USA,1970,30,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,Lubbock (Texas),,,,,,,,,Kph,,,,,1970,5,11,1970,5,11,26,,,,,,,147000,15.18633546
1970-0039-USA,1970,39,Natural,Meteorological,Storm,Tropical cyclone,,Celia,Kill,United States of America (the),USA,Northern America,Americas,Texas,,,,,,,,,Kph,,,,,1970,8,3,1970,8,3,11,,,,,,,450000,15.18633546
1970-0045-USA,1970,45,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,SigDam,United States of America (the),USA,Northern America,Americas,San Diego,,,,,,,,,Km2,,,,,1970,9,,1970,9,,,,,,,,,100000,15.18633546
1971-0016-USA,1971,16,Natural,Geophysical,Earthquake,Ground movement,,,Kill,United States of America (the),USA,Northern America,Americas,San Fernando (Los Angeles),,,,,,,,7,Richter,34.416,-118.37,6:00,,1971,2,9,1971,2,9,65,2000,,,2000,,35000,553000,15.83825463
1972-0011-USA,1972,11,Natural,Hydrological,Landslide,Landslide,,,Kill,United States of America (the),USA,Northern America,Americas,West Virginia,,,,,,,,,,,,,,1972,,,1972,,,400,,,,,,,,16.35652475
1972-0035-USA,1972,35,Natural,Meteorological,Storm,Tropical cyclone,,Agnes,Kill,United States of America (the),USA,Northern America,Americas,East,,,,,,,,153,Kph,,,,,1972,6,18,1972,6,18,122,,,,,,,2100000,16.35652475
1972-0136-USA,1972,136,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1972,6,,1972,6,,134,,,,,,,,16.35652475
1972-0045-USA,1972,45,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,United States of America (the),USA,Northern America,Americas,New York,,,,,,,,,°C,,,,,1972,7,22,1972,7,22,10,,,,,,,,16.35652475
1973-0036-USA,1973,36,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,United States of America (the),USA,Northern America,Americas,New York,,,,,,,,,°C,,,,,1973,8,31,1973,8,31,22,,,,,,,,17.36698602
1974-0019-USA,1974,19,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,Central,,,,,No,No,,,Kph,,,,,1974,4,2,1974,4,5,322,,,,,,,1000000,19.28687447
1975-0055-USA,1975,55,Natural,Meteorological,Storm,Tropical cyclone,,Eloise,Kill,United States of America (the),USA,Northern America,Americas,Florida,,,,,,,,,Kph,,,,,1975,9,16,1975,9,16,21,,,,,,,550000,21.05030752
1977-0089-USA,1977,89,Natural,Hydrological,Flood,Flash flood,,,Kill,United States of America (the),USA,Northern America,Americas,Johnstown (Pennsylvania),,,,,,,,,Km2,,,,,1977,7,22,1977,7,22,76,,2700,,2700,,,200000,23.706851
1977-0118-USA,1977,118,Natural,Hydrological,Flood,Flash flood,,,Kill,United States of America (the),USA,Northern America,Americas,Kansas city (Kansas),,,,,,,,,Km2,,,,,1977,9,12,1977,9,12,25,,,,,,,,23.706851
1977-0031-USA,1977,31,Natural,Meteorological,Extreme temperature,Cold wave,,,SigDam,United States of America (the),USA,Northern America,Americas,East,,,,,,,,,°C,,,,,1977,,,1977,,,,,,,,,,2800000,23.706851
1978-0033-USA,1978,33,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Kill,United States of America (the),USA,Northern America,Americas,East Coast,,,,,,,,,Kph,,,,,1978,2,5,1978,2,5,65,,,,,,,100000,25.51591532
1961-0001-USA,1961,1,Technological,Technological,Miscellaneous accident,Fire,,"Health Care Facility, Hospital",Kill,United States of America (the),USA,Northern America,Americas,Connecticut,,,,,,,,,,,,,,1961,,,1961,,,16,,,,,,,,11.69207506
1961-0045-USA,1961,45,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1961,2,,1961,2,,100,,,,,,,,11.69207506
1962-0004-USA,1962,4,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,East Coast,,,,,,,,,Kph,,,,,1962,3,6,1962,3,6,33,,,,,,,200000,11.83224153
1962-0009-USA,1962,9,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,West Coast,,,,,,,,,Kph,,,,,1962,10,12,1962,10,12,13,,,,,,,150000,11.83224153
1962-0021-USA,1962,21,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1962,12,,1962,12,,112,,,,,,,,11.83224153
1963-0005-USA,1963,5,Technological,Technological,Miscellaneous accident,Fire,,"Health Care Facility, Nursing Home",Kill,United States of America (the),USA,Northern America,Americas,Ohio,,,,,,,,,,,,,,1963,11,23,1963,11,23,63,,,,,,,,11.97891616
1963-0057-USA,1963,57,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1963,1,,1963,1,,26,,,,,,,,11.97891616
1964-0075-USA,1964,75,Technological,Technological,Miscellaneous accident,Collapse,,Dam,Kill,United States of America (the),USA,Northern America,Americas,Montana,,,,,,,,,,,,,,1964,6,,1964,6,,27,,,,,,,,12.13211749
1964-0067-USA,1964,67,Natural,Hydrological,Flood,,,,Kill,United States of America (the),USA,Northern America,Americas,"South California, Oregon",,,,,,,,,Km2,,,,,1964,12,,1964,12,,45,,,,,,,820000,12.13211749
1964-0089-USA,1964,89,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1964,1,,1964,1,,140,,,,,,,,12.13211749
1964-0092-USA,1964,92,Natural,Hydrological,Flood,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Km2,,,,,1964,6,,1964,6,,64,,,,,,,,12.13211749
1966-0118-USA,1966,118,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1966,1,,1966,1,,166,,,,,,,,12.69602817
1966-0119-USA,1966,119,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1966,3,,1966,3,,61,,,,,,,,12.69602817
1966-0133-USA,1966,133,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1966,11,,1966,11,,37,,,,,,,,12.69602817
1967-0114-USA,1967,114,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1967,1,,1967,1,,80,,,,,,,,13.04806211
1967-0115-USA,1967,115,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1967,2,,1967,2,,74,,,,,,,,13.04806211
1967-0117-USA,1967,117,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1967,4,,1967,4,,56,,,,,,,,13.04806211
1967-0127-USA,1967,127,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1967,12,,1967,12,,50,,,,,,,,13.04806211
1968-0014-USA,1968,14,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,Jonesboro (Arkansas),,,,,,,,,Kph,,,,,1968,,,1968,,,34,,458,,458,,,8000,13.60544609
1968-0121-USA,1968,121,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1968,1,,1968,1,,55,,,,,,,,13.60544609
1968-0122-USA,1968,122,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1968,5,,1968,5,,70,,,,,,,,13.60544609
1969-0044-USA,1969,44,Natural,Hydrological,Flood,,,,Kill,United States of America (the),USA,Northern America,Americas,Southern California,,,,,,,,,Km2,,,,,1969,1,,1969,1,,115,,,,,,,400000,14.34862782
1969-0143-USA,1969,143,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1969,1,,1969,1,,100,,,,,,,,14.34862782
1969-0144-USA,1969,144,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1969,1,,1969,1,,31,,,,,,,,14.34862782
1969-0145-USA,1969,145,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1969,2,,1969,2,,166,,,,,,,,14.34862782
1969-0146-USA,1969,146,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1969,2,,1969,2,,54,,,,,,,,14.34862782
1969-0148-USA,1969,148,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1969,7,,1969,7,,41,,,,,,,,14.34862782
1970-0132-USA,1970,132,Technological,Technological,Industrial accident,Explosion,,Coal mine,Kill,United States of America (the),USA,Northern America,Americas,Hyden (Kentucky),,,,,No,No,,,m3,,,,,1970,12,,1970,12,,38,,,,,,,,15.18633546
1970-0011-USA,1970,11,Technological,Technological,Miscellaneous accident,Fire,,"Health Care Facility, Nursing Home",Kill,United States of America (the),USA,Northern America,Americas,Ohio,,,,,,,,,,,,,,1970,6,9,1970,6,9,31,,,,,,,,15.18633546
1970-0130-USA,1970,130,Technological,Technological,Miscellaneous accident,Fire,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,,,,,,1970,12,,1970,12,,28,,,,,,,,15.18633546
1971-0122-USA,1971,122,Technological,Technological,Miscellaneous accident,Fire,,,Kill,United States of America (the),USA,Northern America,Americas,Woodbine,,,,,,,,,,,,,,1971,2,3,1971,2,3,25,61,,,61,,,,15.83825463
1971-0121-USA,1971,121,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1971,1,,1971,1,,37,,,,,,,,15.83825463
1971-0124-USA,1971,124,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1971,2,,1971,2,,121,,,,,,,,15.83825463
1972-0079-USA,1972,79,Technological,Technological,Transport accident,Rail,,,Kill,United States of America (the),USA,Northern America,Americas,Chicago,,,,,,,,,,,,,,1972,10,30,1972,10,30,45,350,,,350,,,,16.35652475
1972-0095-USA,1972,95,Technological,Technological,Industrial accident,Fire,,,Affect,United States of America (the),USA,Northern America,Americas,St. Louis,,,,,,,,,m3,,,,,1972,1,22,1972,1,22,,230,100,,330,,,,16.35652475
1972-0133-USA,1972,133,Technological,Technological,Industrial accident,Fire,,,Kill,United States of America (the),USA,Northern America,Americas,Doraville,,,,,,,,,m3,,,,,1972,4,6,1972,4,6,2,161,,,161,,,,16.35652475
1972-0090-USA,1972,90,Technological,Technological,Miscellaneous accident,Collapse,,Dam,Kill,United States of America (the),USA,Northern America,Americas,Canyon Lake (South-Dakota),,,,,,,,,,,,,,1972,6,9,1972,6,9,240,,,,,,,,16.35652475
1972-0091-USA,1972,91,Technological,Technological,Miscellaneous accident,Collapse,,Dam,Kill,United States of America (the),USA,Northern America,Americas,Lake Barcroft (Virginia),,,,,,,,,,,,,,1972,6,21,1972,6,21,125,,,,,,,,16.35652475
1972-0037-USA,1972,37,Natural,Hydrological,Flood,,,,Kill,United States of America (the),USA,Northern America,Americas,"Rapid city (South Dakota), Buffalo Creek (West Virginia)",,,,,,,,,Km2,,,,,1972,6,9,1972,6,9,237,,3000,,3000,,,120000,16.35652475
1973-0144-USA,1973,144,Technological,Technological,Transport accident,Water,,"Oil tanker ""Esso Brussels"" and boat ""Sea Witch""",Kill,United States of America (the),USA,Northern America,Americas,New York,,,,,No,No,,,,,,,,1973,6,2,1973,6,2,16,20,,,20,,,,17.36698602
1973-0121-USA,1973,121,Technological,Technological,Miscellaneous accident,Explosion,,,Kill,United States of America (the),USA,Northern America,Americas,Staten Island,,,,,,,,,,,,,,1973,2,10,1973,2,10,40,2,,,2,,,,17.36698602
1973-0093-USA,1973,93,Technological,Technological,Industrial accident,Poisoning,,,Affect,United States of America (the),USA,Northern America,Americas,Michigan,,,,,,,,,m3,,,,,1973,,,1973,,,,333,,,333,,,,17.36698602
1973-0064-USA,1973,64,Technological,Technological,Miscellaneous accident,Fire,,Nightclubs,Kill,United States of America (the),USA,Northern America,Americas,New Orleans,,,,,,,,,,,,,,1973,6,24,1973,6,24,30,,,,,,,,17.36698602
1973-0006-USA,1973,6,Natural,Meteorological,Storm,,,,Affect,United States of America (the),USA,Northern America,Americas,Jonesboro (Arkansas),,,,,,,,,Kph,,,,,1973,,,1973,,,2,,246,,246,,,50000,17.36698602
1973-0020-USA,1973,20,Natural,Hydrological,Flood,,,,Kill,United States of America (the),USA,Northern America,Americas,"Mississippi, River Basin",,,,,,,,,Km2,,,,,1973,4,,1973,4,,23,,,,,,,500000,17.36698602
1973-0122-USA,1973,122,Natural,Hydrological,Flood,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Km2,,,,,1973,3,,1973,3,,33,,,,,,,,17.36698602
1973-0127-USA,1973,127,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1973,5,,1973,5,,48,,,,,,,,17.36698602
1974-0089-USA,1974,89,Technological,Technological,Industrial accident,Explosion,,,Affect,United States of America (the),USA,Northern America,Americas,Wenatchee,,,,,,,,,m3,,,,,1974,,,1974,,,2,112,,,112,,,,19.28687447
1974-0090-USA,1974,90,Technological,Technological,Industrial accident,Explosion,,,Affect,United States of America (the),USA,Northern America,Americas,Houston,,,,,,,,,m3,,,,,1974,,,1974,,,1,235,,,235,,,,19.28687447
1974-0088-USA,1974,88,Technological,Technological,Industrial accident,Chemical spill,,,Affect,United States of America (the),USA,Northern America,Americas,Decatur,,,,,,,,,m3,,,,,1974,,,1974,,,7,152,,,152,,,,19.28687447
1974-0067-USA,1974,67,Technological,Technological,Miscellaneous accident,Fire,,Nightclub,Kill,United States of America (the),USA,Northern America,Americas,New York,,,,,,,,,,,,,,1974,6,30,1974,6,30,24,,,,,,,,19.28687447
1974-0151-USA,1974,151,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1974,6,,1974,6,,30,,,,,,,,19.28687447
1975-0134-USA,1975,134,Technological,Technological,Transport accident,Air,,Boeing 727,Kill,United States of America (the),USA,Northern America,Americas,Near New-York,,,,,,,,,,,,,,1975,6,24,1975,6,24,112,,,,,,,,21.05030752
1975-0099-USA,1975,99,Technological,Technological,Industrial accident,Explosion,,,Affect,United States of America (the),USA,Northern America,Americas,Baton Rouge,,,,,,,,,m3,,,,,1975,,,1975,,,,,10000,,10000,,,,21.05030752
1975-0094-USA,1975,94,Technological,Technological,Industrial accident,Chemical spill,,LPG,Kill,United States of America (the),USA,Northern America,Americas,Eagle Pass,,,,,,,,,m3,,,,,1975,,,1975,,,17,34,,,34,,,,21.05030752
1975-0095-USA,1975,95,Technological,Technological,Industrial accident,Chemical spill,,Chlorine,Affect,United States of America (the),USA,Northern America,Americas,Niagara Falls,,,,,,,,,m3,,,,,1975,,,1975,,,4,176,,,176,,,,21.05030752
1975-0097-USA,1975,97,Technological,Technological,Industrial accident,Chemical spill,,Ammonia,Affect,United States of America (the),USA,Northern America,Americas,Houston,,,,,,,,,m3,,,,,1975,,,1975,,,6,178,,,178,,,,21.05030752
1975-0098-USA,1975,98,Technological,Technological,Industrial accident,Chemical spill,,Ammonia,Affect,United States of America (the),USA,Northern America,Americas,Deer Park,,,,,,,,,m3,,,,,1975,,,1975,,,5,200,,,200,,,,21.05030752
1975-0031-USA,1975,31,Natural,Meteorological,Storm,,,,Affect,United States of America (the),USA,Northern America,Americas,"Omaha, Nebraska",,,,,,,,,Kph,,,,,1975,5,6,1975,5,6,3,,200,,200,,,,21.05030752
1975-0135-USA,1975,135,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1975,1,,1975,1,,50,,,,,,,,21.05030752
1975-0138-USA,1975,138,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1975,4,,1975,4,,28,,,,,,,,21.05030752
1976-0116-USA,1976,116,Technological,Technological,Miscellaneous accident,Collapse,,Dam,Kill,United States of America (the),USA,Northern America,Americas,Teton (Idaho),,,,,,,,,,,,,,1976,6,5,1976,6,5,11,,,,,,,,22.25960139
1976-0166-USA,1976,166,Technological,Technological,Miscellaneous accident,Collapse,,Dam,Kill,United States of America (the),USA,Northern America,Americas,"Canyon Lake, South Dakota",,,,,,,,,,,,,,1976,2,22,1976,2,22,237,,,,,,,,22.25960139
1976-0080-USA,1976,80,Technological,Technological,Miscellaneous accident,Fire,,Nightclub,Kill,United States of America (the),USA,Northern America,Americas,"Bronx, New York",,,,,,,,,,,,,,1976,10,24,1976,10,24,25,,,,,,,,22.25960139
1976-0081-USA,1976,81,Technological,Technological,Miscellaneous accident,Fire,,Nursing Homes,Kill,United States of America (the),USA,Northern America,Americas,Fremont (Nebraska),,,,,,,,,,,,,,1976,1,10,1976,1,10,20,,,,,,,,22.25960139
1976-0051-USA,1976,51,Natural,Hydrological,Flood,,,,Kill,United States of America (the),USA,Northern America,Americas,Colorado (Big Thompson Canyon),,,,,,,,,Km2,,,,,1976,7,31,1976,7,31,139,,,,,,,41000,22.25960139
1977-0250-USA,1977,250,Technological,Technological,Transport accident,Rail,,Subway,Kill,United States of America (the),USA,Northern America,Americas,Chicago,,,,,No,No,,,,,,,,1977,,,1977,,,11,200,,,200,,,,23.706851
1977-0188-USA,1977,188,Technological,Technological,Miscellaneous accident,Collapse,,Dam,Kill,United States of America (the),USA,Northern America,Americas,Laurel Run (Pennsylvania),,,,,,,,,,,,,,1977,7,,1977,7,,40,,,,,,,,23.706851
1977-0190-USA,1977,190,Technological,Technological,Miscellaneous accident,Collapse,,Dam,Kill,United States of America (the),USA,Northern America,Americas,Kelly Barnes (Georgia),,,,,,,,,,,,,,1977,11,6,1977,11,6,39,,,,,,,,23.706851
1977-0229-USA,1977,229,Technological,Technological,Miscellaneous accident,Collapse,,,Kill,United States of America (the),USA,Northern America,Americas,Kansas city (Missouri),,,,,,,,,,,,,,1977,,,1977,,,25,,,,,,,,23.706851
1977-0032-USA,1977,32,Technological,Technological,Miscellaneous accident,Fire,,Night club,Kill,United States of America (the),USA,Northern America,Americas,Southgate (Kentucky),,,,,,,,,,,,,,1977,5,28,1977,5,28,164,,,,,,,,23.706851
1977-0237-USA,1977,237,Technological,Technological,Miscellaneous accident,Fire,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,,,,,,1977,6,,1977,6,,42,,,,,,,,23.706851
1977-0233-USA,1977,233,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1977,1,,1977,1,,51,,,,,,,,23.706851
1977-0235-USA,1977,235,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1977,4,,1977,4,,40,,,,,,,,23.706851
1977-0245-USA,1977,245,Natural,Hydrological,Flood,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Km2,,,,,1977,11,,1977,11,,39,,,,,,,,23.706851
1978-0179-USA,1978,179,Technological,Technological,Transport accident,Air,,Boeing 727,Kill,United States of America (the),USA,Northern America,Americas,San Diego (California),,,,,,,,,,,,,,1978,9,25,1978,9,25,144,,,,,,,,25.51591532
1978-0195-USA,1978,195,Technological,Technological,Industrial accident,Gas leak,,Chlorine,Affect,United States of America (the),USA,Northern America,Americas,Youngstown,,,,,,,,,m3,,,,,1978,,,1978,,,8,114,3500,,3614,,,,25.51591532
1978-0241-USA,1978,241,Technological,Technological,Miscellaneous accident,Collapse,,Dam,Kill,United States of America (the),USA,Northern America,Americas,Texas Hill county (Texas),,,,,,,,,,,,,,1978,,,1978,,,25,,,,,,,,25.51591532
1978-0150-USA,1978,150,Technological,Technological,Miscellaneous accident,Fire,,Beverly Hills Country Club,Kill,United States of America (the),USA,Northern America,Americas,Berverly Hills,,,,,,,,,,,,,,1978,5,28,1978,5,28,16,,,,,,,,25.51591532
1978-0248-USA,1978,248,Technological,Technological,Miscellaneous accident,Fire,,Supper Club Fire,Kill,United States of America (the),USA,Northern America,Americas,"Beverly Hills, Southgate Kentucky",,,,,,,,,,,,,,1978,7,2,1978,7,2,164,100,,,100,,,,25.51591532
1978-0257-USA,1978,257,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1978,1,,1978,1,,100,,,,,,,,25.51591532
1978-0258-USA,1978,258,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1978,2,,1978,2,,25,,,,,,,,25.51591532
1978-0259-USA,1978,259,Natural,Meteorological,Storm,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Kph,,,,,1978,3,,1978,3,,25,,,,,,,,25.51591532
1978-0261-USA,1978,261,Natural,Hydrological,Flood,,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,Km2,,,,,1978,8,,1978,8,,27,,,,,,,,25.51591532
1979-0034-USA,1979,34,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,"Texas, Oklahoma",,,,,,,,,Kph,,,,,1979,4,10,1979,4,10,48,110,2000,,2110,,,550000,28.3875989
1979-0256-USA,1979,256,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,SigDam,United States of America (the),USA,Northern America,Americas,"New York State, Detroit",,,,,,,,,Kph,,,,,1979,4,10,1979,4,10,7,50,,,50,,,13000,28.3875989
1979-0088-USA,1979,88,Natural,Meteorological,Storm,Tropical cyclone,,Frederic,Kill,United States of America (the),USA,Northern America,Americas,Gulf coast,,,,,,,,,Kph,,,,,1979,9,12,1979,9,12,31,,,,,,,2300000,28.3875989
1979-0119-USA,1979,119,Technological,Technological,Industrial accident,Radiation,,Nuclear plant Three Mile Island,Affect,United States of America (the),USA,Northern America,Americas,Pennsylvania,,,,,,,,,m3,,,,,1979,3,28,1979,3,28,,,200000,,200000,,,,28.3875989
1979-0298-USA,1979,298,Technological,Technological,Industrial accident,Gas leak,,Nuclear site,Affected,United States of America (the),USA,Northern America,Americas,Near Erwin (Tennessee),,,,,No,No,,,m3,,,,,1979,8,,1979,8,,,,1000,,1000,,,,28.3875989
1979-0188-USA,1979,188,Technological,Technological,Industrial accident,Chemical spill,,,Affect,United States of America (the),USA,Northern America,Americas,Crystal city,,,,,,,,,m3,,,,,1979,,,1979,,,,,6000,,6000,,,,28.3875989
1979-0189-USA,1979,189,Technological,Technological,Industrial accident,Chemical spill,,Ammonia/Chlorine,Affect,United States of America (the),USA,Northern America,Americas,Crestview,,,,,,,,,m3,,,,,1979,,,1979,,,,14,4500,,4514,,,,28.3875989
1979-0190-USA,1979,190,Technological,Technological,Industrial accident,Chemical spill,,Parathion,Affect,United States of America (the),USA,Northern America,Americas,Memphis,,,,,,,,,m3,,,,,1979,,,1979,,,,,200,,200,,,,28.3875989
1979-0120-USA,1979,120,Technological,Technological,Miscellaneous accident,Fire,,,Kill,United States of America (the),USA,Northern America,Americas,Sante Fé,,,,,,,,,,,,,,1979,1,,1979,1,,28,,,,,,,,28.3875989
